ind,node,weekday_super_spreader,weekday_super_susceptible,weekend_super_spreader,weekend_super_susceptible
160,CLEMENTI WOODS,3,3,3,3
161,CLEMENTI WEST,3,3,3,3
162,DOVER,3,3,3,3
163,HOLLAND ROAD,2,2,3,3
164,TANGLIN HALT,3,3,3,3
165,HOLLAND DRIVE,3,3,3,3
166,PASIR PANJANG 1,2,3,2,3
167,LEEDON PARK,3,3,2,2
168,MARGARET DRIVE,3,3,3,3
169,GHIM MOH,3,3,3,3
170,TYERSALL,3,2,3,2
171,CORONATION ROAD,3,3,3,3
172,FARRER COURT,3,3,3,3
173,PANDAN,3,3,3,3
174,FABER,3,3,3,3
175,QUEENSWAY,3,3,3,3
176,WEST COAST,3,3,3,3
177,ULU PANDAN,3,3,3,3
178,RIDOUT,3,3,3,3
179,PORT,3,3,3,3
180,SUNSET WAY,3,3,3,3
181,DUNEARN,3,3,3,3
182,KENT RIDGE,3,3,3,3
183,CHOA CHU KANG CENTRAL,1,1,1,1
184,JELEBU,2,2,2,2
185,TECK WHYE,2,2,2,2
186,SAUJANA,3,3,3,3
187,YEW TEE,2,2,2,2
188,BANGKIT,3,3,3,2
189,PENG SIANG,3,3,3,3
190,KEAT HONG,3,3,3,3
191,FAJAR,3,3,3,3
192,SENJA,3,3,3,2
193,CHOA CHU KANG NORTH,3,3,3,3
194,DAIRY FARM,3,3,3,3
195,LIM CHU KANG,3,3,3,3
196,WOODLANDS REGIONAL CENTRE,1,1,1,1
197,WOODLANDS EAST,1,1,2,1
198,WOODLANDS WEST,3,2,3,2
199,MIDVIEW,3,3,3,3
200,NORTH COAST,3,3,3,3
201,WOODLANDS SOUTH,3,3,3,3
202,TURF CLUB,2,2,2,2
203,WOODGROVE,3,3,3,3
204,SENOKO SOUTH,3,3,3,3
205,GREENWOOD PARK,3,3,3,3
206,SENOKO WEST,3,3,3,3
207,GALI BATU,3,3,3,3
208,KRANJI,3,3,3,3
209,RESERVOIR VIEW,3,3,3,3
210,PANG SUA,3,3,3,3
211,TIONG BAHRU STATION,2,2,2,2
212,MARITIME SQUARE,1,1,1,1
213,REDHILL,2,2,2,2
214,BUKIT MERAH,3,3,3,3
215,ALEXANDRA HILL,2,2,2,2
216,HENDERSON HILL,3,3,3,3
217,TELOK BLANGAH DRIVE,3,3,3,3
218,TIONG BAHRU,3,3,3,3
219,TELOK BLANGAH RISE,3,3,3,3
220,KAMPONG TIONG BAHRU,3,3,3,3
221,TELOK BLANGAH WAY,3,3,3,3
222,BUKIT HO SWEE,3,3,3,3
223,DEPOT ROAD,3,3,3,3
224,PASIR PANJANG 2,3,3,3,3
225,CITY TERMINALS,3,3,3,3
226,ALEXANDRA NORTH,3,3,3,3
227,SENTOSA,3,3,3,3
228,YISHUN CENTRAL,2,2,2,2
229,YISHUN WEST,1,1,1,1
230,YISHUN EAST,3,3,3,3
231,YISHUN SOUTH,2,3,2,3
232,KHATIB,2,1,2,1
233,NORTHLAND,3,3,3,3
234,LOWER SELETAR,3,3,3,3
235,MANDAI ESTATE,3,3,3,3
236,ANG MO KIO TOWN CENTRE,2,2,2,2
237,CHENG SAN,2,2,2,2
238,CHONG BOON,3,3,2,3
239,YIO CHU KANG,2,2,2,2
240,KEBUN BAHRU,3,3,3,3
241,SHANGRI-LA,3,3,3,3
242,YIO CHU KANG WEST,3,3,3,3
243,TOWNSVILLE,2,3,2,3
244,YIO CHU KANG EAST,3,3,3,3
245,SELETAR HILLS,3,3,3,3
246,SERANGOON NORTH IND ESTATE,3,3,3,3
247,SEMBAWANG HILLS,3,3,3,3
248,TAGORE,3,3,3,3
249,YIO CHU KANG NORTH,3,3,3,3
250,CENTRAL WATER CATCHMENT,3,3,3,3
251,SPRINGLEAF,3,3,3,3
252,NEE SOON,3,3,3,3
253,SENGKANG WEST,3,3,3,3
254,MANDAI WEST,3,3,3,3
255,TOA PAYOH CENTRAL,1,1,1,1
256,BALESTIER,2,2,2,2
257,TOA PAYOH WEST,2,2,2,3
258,BOON TECK,3,3,3,3
259,BRADDELL,3,3,3,3
260,PEI CHUN,3,3,3,3
261,LORONG 8 TOA PAYOH,3,3,3,3
262,KIM KEAT,3,3,3,3
263,MOUNT PLEASANT,3,3,3,3
264,BUKIT BATOK CENTRAL,2,2,2,1
265,GUILIN,2,2,2,2
266,ANAK BUKIT,2,2,2,2
267,BUKIT BATOK SOUTH,3,3,3,3
268,BUKIT BATOK WEST,3,3,3,3
269,BUKIT BATOK EAST,3,3,3,3
270,BRICKWORKS,3,3,3,3
271,HONG KAH NORTH,3,3,3,3
272,GOMBAK,2,2,2,2
273,HILLVIEW,3,3,3,3
274,SWISS CLUB,3,3,3,3
275,NATURE RESERVE,3,3,3,3
276,HILLCREST,3,3,3,3
277,SERANGOON CENTRAL,2,2,2,2
278,SERANGOON GARDEN,2,3,3,3
279,KOVAN,3,3,3,3
280,LORONG AH SOO,3,3,3,3
281,SERANGOON NORTH,3,3,3,3
282,UPPER PAYA LEBAR,3,3,3,3
283,LORONG CHUAN,3,3,3,3
284,TAI SENG,3,3,3,3
285,BIDADARI,3,3,3,3
286,SEMBAWANG CENTRAL,1,1,1,1
287,SEMBAWANG NORTH,3,3,3,3
